"district"	"county"	"town"	"democrat"	"republican"	"ind1"	"ind2"	"blank"	"total"	"join_id"
79	"KEN"	"BENTON"	461	688			64	1213	"79 BENTON"
79	"KEN"	"CHINA"	955	1472			89	2516	"79 CHINA"
80	"KEN"	"AUGUSTA"	370	397			45	812	"80 AUGUSTA"
80	"KEN"	"VASSALBORO"	1207	1212			61	2480	"80 VASSALBORO"
80	"KEN"	"WINDSOR"	575	758			55	1388	"80 WINDSOR"
80	"LIN"	"SOMERVILLE"	144	176			26	346	"80 SOMERVILLE"
81	"KEN"	"MONMOUTH"	91	60			10	161	"81 MONMOUTH"
81	"KEN"	"READFIELD"	1048	576			42	1666	"81 READFIELD"
81	"KEN"	"WINTHROP"	2417	1213			78	3708	"81 WINTHROP"
82	"AND"	"WALES"		610	252		29	891	"82 WALES"
82	"KEN"	"LITCHFIELD"		922	1075		88	2085	"82 LITCHFIELD"
82	"KEN"	"MONMOUTH"		844	1354		53	2251	"82 MONMOUTH"
83	"KEN"	"FARMINGDALE"	936	716			71	1723	"83 FARMINGDALE"
83	"KEN"	"GARDINER"	1762	1237			121	3120	"83 GARDINER"
84	"KEN"	"HALLOWELL"	1346				313	1659	"84 HALLOWELL"
84	"KEN"	"MANCHESTER"	1200				479	1679	"84 MANCHESTER"
84	"KEN"	"WEST GARDINER"	1569				640	2209	"84 WEST GARDINER"
85	"KEN"	"AUGUSTA"	3470				933	4403	"85 AUGUSTA"
86	"KEN"	"AUGUSTA"		3245			754	3999	"86 AUGUSTA"
87	"KEN"	"PITTSTON"	483	1198			42	1723	"87 PITTSTON"
87	"KEN"	"RANDOLPH"	374	602			42	1018	"87 RANDOLPH"
87	"LIN"	"ALNA"	275	191			16	482	"87 ALNA"
87	"LIN"	"WISCASSET"	1125	1050			76	2251	"87 WISCASSET"
88	"KEN"	"CHELSEA"	458	1007			62	1527	"88 CHELSEA"
88	"LIN"	"JEFFERSON"	613	934			66	1613	"88 JEFFERSON"
88	"LIN"	"NOBLEBORO"	238	339			25	602	"88 NOBLEBORO"
88	"LIN"	"WHITEFIELD"	743	634			54	1431	"88 WHITEFIELD"
89	"LIN"	"BOOTHBAY"		1207	881		25	2113	"89 BOOTHBAY"
89	"LIN"	"BOOTHBAY HARBOR"		807	558		28	1393	"89 BOOTHBAY HARBOR"
89	"LIN"	"EDGECOMB"		385	414		24	823	"89 EDGECOMB"
89	"LIN"	"SOUTH BRISTOL"		180	260		34	474	"89 SOUTH BRISTOL"
89	"LIN"	"SOUTHPORT"		235	191		5	431	"89 SOUTHPORT"
89	"LIN"	"WESTPORT ISLAND"		234	260		22	516	"89 WESTPORT ISLAND"
90	"LIN"	"BREMEN"	287	208			18	513	"90 BREMEN"
90	"LIN"	"BRISTOL"	1016	816			62	1894	"90 BRISTOL"
90	"LIN"	"DAMARISCOTTA"	811	511			50	1372	"90 DAMARISCOTTA"
90	"LIN"	"MONHEGAN ISLAND"	49	9			2	60	"90 MONHEGAN ISLAND"
90	"LIN"	"NEWCASTLE"	789	441			40	1270	"90 NEWCASTLE"
90	"LIN"	"NOBLEBORO"	306	247			21	574	"90 NOBLEBORO"
90	"LIN"	"SOUTH BRISTOL"	77	72			7	156	"90 SOUTH BRISTOL"
91	"KNO"	"FRIENDSHIP"	281	457			20	758	"91 FRIENDSHIP"
91	"KNO"	"UNION"	277	243			15	535	"91 UNION"
91	"KNO"	"WASHINGTON"	421	499			30	950	"91 WASHINGTON"
91	"LIN"	"WALDOBORO"	1258	1519			57	2834	"91 WALDOBORO"
92	"KNO"	"CRIEHAVEN"	1	0			0	1	"92 CRIEHAVEN"
92	"KNO"	"CUSHING"	439	394			49	882	"92 CUSHING"
92	"KNO"	"MATINICUS ISLE"	30	15			8	53	"92 MATINICUS ISLE"
92	"KNO"	"SAINT GEORGE"	1012	606			71	1689	"92 SAINT GEORGE"
92	"KNO"	"SOUTH THOMASTON"	573	321			32	926	"92 SOUTH THOMASTON"
92	"KNO"	"THOMASTON"	910	551			55	1516	"92 THOMASTON"
93	"KNO"	"OWLS HEAD"	491	503			44	1038	"93 OWLS HEAD"
93	"KNO"	"ROCKLAND"	2021	1481			148	3650	"93 ROCKLAND"
94	"KNO"	"CAMDEN"	1796		1576		131	3503	"94 CAMDEN"
94	"KNO"	"ROCKPORT"	1000		1297		65	2362	"94 ROCKPORT"
94	"WAL"	"ISLESBORO"	220		192		18	430	"94 ISLESBORO"
95	"KNO"	"APPLETON"	404	446			24	874	"95 APPLETON"
95	"KNO"	"HOPE"	578	432			38	1048	"95 HOPE"
95	"KNO"	"UNION"	348	464			22	834	"95 UNION"
95	"KNO"	"WARREN"	734	1358			61	2153	"95 WARREN"
96	"WAL"	"BELMONT"	257	278			42	577	"96 BELMONT"
96	"WAL"	"LIBERTY"	268	271			27	566	"96 LIBERTY"
96	"WAL"	"LINCOLNVILLE"	982	517			75	1574	"96 LINCOLNVILLE"
96	"WAL"	"MONTVILLE"	375	248			24	647	"96 MONTVILLE"
96	"WAL"	"MORRILL"	233	277			41	551	"96 MORRILL"
96	"WAL"	"PALERMO"	292	544			54	890	"96 PALERMO"
96	"WAL"	"SEARSMONT"	459	352			42	853	"96 SEARSMONT"
97	"WAL"	"BELFAST"	2896	948			154	3998	"97 BELFAST"
97	"WAL"	"NORTHPORT"	666	332			39	1037	"97 NORTHPORT"
97	"WAL"	"WALDO"	318	155			16	489	"97 WALDO"
98	"WAL"	"FRANKFORT"	226	408			37	671	"98 FRANKFORT"
98	"WAL"	"SEARSPORT"	440	1090			40	1570	"98 SEARSPORT"
98	"WAL"	"SWANVILLE"	269	484			46	799	"98 SWANVILLE"
98	"WAL"	"WINTERPORT"	1184	987			59	2230	"98 WINTERPORT"
99	"WAL"	"BROOKS"	220	344			17	581	"99 BROOKS"
99	"WAL"	"BURNHAM"	267	384			38	689	"99 BURNHAM"
99	"WAL"	"FREEDOM"	213	214			13	440	"99 FREEDOM"
99	"WAL"	"JACKSON"	120	199			15	334	"99 JACKSON"
99	"WAL"	"KNOX"	128	322			9	459	"99 KNOX"
99	"WAL"	"MONROE"	253	278			30	561	"99 MONROE"
99	"WAL"	"THORNDIKE"	182	243			17	442	"99 THORNDIKE"
99	"WAL"	"TROY"	242	300			32	574	"99 TROY"
99	"WAL"	"UNITY"	492	510			68	1070	"99 UNITY"
100	"PEN"	"CORINNA"		1009			152	1161	"100 CORINNA"
100	"PEN"	"DIXMONT"		599			147	746	"100 DIXMONT"
100	"PEN"	"ETNA"		389			105	494	"100 ETNA"
100	"PEN"	"NEWPORT"		1436			334	1770	"100 NEWPORT"
100	"PEN"	"PLYMOUTH"		636			112	748	"100 PLYMOUTH"
101	"PEN"	"HAMPDEN"	1555	2848			129	4532	"101 HAMPDEN"
101	"PEN"	"NEWBURGH"	289	644			33	966	"101 NEWBURGH"
102	"PEN"	"GLENBURN"	599	1884			123	2606	"102 GLENBURN"
102	"PEN"	"KENDUSKEAG"	171	542			29	742	"102 KENDUSKEAG"
102	"PEN"	"LEVANT"	467	1030			98	1595	"102 LEVANT"
103	"PEN"	"CARMEL"	315	1262			55	1632	"103 CARMEL"
103	"PEN"	"ETNA"	41	112			10	163	"103 ETNA"
103	"PEN"	"HERMON"	1206	2223			159	3588	"103 HERMON"
104	"PEN"	"CHARLESTON"	167	512			37	716	"104 CHARLESTON"
104	"PEN"	"DEXTER"	751	1016			62	1829	"104 DEXTER"
104	"PEN"	"EXETER"	173	351			26	550	"104 EXETER"
104	"PEN"	"GARLAND"	194	355			28	577	"104 GARLAND"
104	"PEN"	"STETSON"	248	428			56	732	"104 STETSON"
105	"SOM"	"CAMBRIDGE"	100	163			6	269	"105 CAMBRIDGE"
105	"SOM"	"CANAAN"	428	693			35	1156	"105 CANAAN"
105	"SOM"	"HARTLAND"	288	569			31	888	"105 HARTLAND"
105	"SOM"	"PALMYRA"	388	646			55	1089	"105 PALMYRA"
105	"SOM"	"RIPLEY"	102	149			18	269	"105 RIPLEY"
105	"SOM"	"SAINT ALBANS"	360	766			37	1163	"105 SAINT ALBANS"
106	"KEN"	"CLINTON"	789	847			71	1707	"106 CLINTON"
106	"SOM"	"DETROIT"	204	196			15	415	"106 DETROIT"
106	"SOM"	"PITTSFIELD"	930	1012			38	1980	"106 PITTSFIELD"
107	"SOM"	"MADISON"	18	12	7		1	38	"107 MADISON"
107	"SOM"	"SKOWHEGAN"	1534	1367	1144		110	4155	"107 SKOWHEGAN"
108	"SOM"	"FAIRFIELD"	1246	2009			127	3382	"108 FAIRFIELD"
108	"SOM"	"MERCER"	140	254			30	424	"108 MERCER"
108	"SOM"	"SMITHFIELD"	190	389			45	624	"108 SMITHFIELD"
109	"KEN"	"WATERVILLE"	3497				769	4266	"109 WATERVILLE"
110	"KEN"	"OAKLAND"	341	640			48	1029	"110 OAKLAND"
110	"KEN"	"WATERVILLE"	1966	1022			179	3167	"110 WATERVILLE"
111	"SOM"	"MADISON"	953	1266			49	2268	"111 MADISON"
111	"SOM"	"NORRIDGEWOCK"	704	1097			39	1840	"111 NORRIDGEWOCK"
111	"SOM"	"SOLON"	318	266			23	607	"111 SOLON"
112	"FRA"	"AVON"	82	149			17	248	"112 AVON"
112	"FRA"	"CARRABASSETT VALLEY"	215	219			40	474	"112 CARRABASSETT VALLEY"
112	"FRA"	"CARTHAGE"	74	196			22	292	"112 CARTHAGE"
112	"FRA"	"KINGFIELD"	269	487			54	810	"112 KINGFIELD"
112	"FRA"	"PERKINS TOWNSHIP"	7	6			0	13	"112 PERKINS TOWNSHIP"
112	"FRA"	"PHILLIPS"	243	376			30	649	"112 PHILLIPS"
112	"FRA"	"SANDY RIVER"	41	48			4	93	"112 SANDY RIVER"
112	"FRA"	"FREEMAN TOWNSHIP"	30	73			5	108	"112 FREEMAN TOWNSHIP"
112	"FRA"	"WASHINGTON"	6	11			0	17	"112 WASHINGTON"
112	"FRA"	"WELD"	70	213			5	288	"112 WELD"
112	"FRA"	"EAST CENTRAL FRANKLIN"	43	90			5	138	"112 EAST CENTRAL FRANKLIN"
112	"SOM"	"ANSON"	345	770			60	1175	"112 ANSON"
112	"SOM"	"NEW PORTLAND"	171	240			31	442	"112 NEW PORTLAND"
112	"SOM"	"STARKS"	131	205			21	357	"112 STARKS"
113	"FRA"	"FARMINGTON"	1972	1877			134	3983	"113 FARMINGTON"
113	"FRA"	"NEW SHARON"	366	554			22	942	"113 NEW SHARON"
114	"FRA"	"CHESTERVILLE"	307	419			21	747	"114 CHESTERVILLE"
114	"FRA"	"INDUSTRY"	176	282			12	470	"114 INDUSTRY"
114	"FRA"	"NEW VINEYARD"	119	313			18	450	"114 NEW VINEYARD"
114	"FRA"	"STRONG"	158	499			15	672	"114 STRONG"
114	"FRA"	"TEMPLE"	132	186			10	328	"114 TEMPLE"
114	"FRA"	"WILTON"	564	1606			58	2228	"114 WILTON"
115	"OXF"	"MILTON"	32	53			3	88	"115 MILTON"
115	"OXF"	"ROXBURY"	129	110			10	249	"115 ROXBURY"
115	"OXF"	"RUMFORD"	1717	1114			93	2924	"115 RUMFORD"
115	"OXF"	"SUMNER"	223	301			35	559	"115 SUMNER"
